Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,2010,2003,2019,4.56,0.000%,8.40054,1.64,1.02,200.0
TOTAL,100,2010,2003,2019,4.56,0.000%,8.40054,1.64,1.02,200.0
