Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,2010,2003,2089,8.95,0.000%,8.39842,1.66,1.02,202.6
TOTAL,100,2010,2003,2089,8.95,0.000%,8.39842,1.66,1.02,202.6
